ign,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
Mazino,Artisan Ninja FX Zero Soft,Razer Huntsman TE,HyperX Cloud Flight,ZOWIE XL2546K,Artisan,Razer,HyperX,ZOWIE
Meddo,unknown,unknown,SteelSeries Arctis Pro White,ZOWIE XL2546,unknown,unknown,SteelSeries,ZOWIE
Megga,HyperX Fury S Speed Edition,SteelSeries Apex Pro TKL,SteelSeries Arctis 1 Wireless,Alienware AW2518H,HyperX,SteelSeries,SteelSeries,Alienware
Melser,Lethal Gaming Gear Saturn,Ducky One 2,unknown,Alienware AW2521H,Lethal,Ducky,unknown,Alienware
Mendo,Artisan Ninja FX Zero Soft,Custom Keyboard,beyerdynamic DT 1990 PRO,Alienware AW2521H,Artisan,Custom,beyerdynamic,Alienware
Mercury,ZOWIE G-SR,SteelSeries Apex Pro,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,SteelSeries,HyperX,ZOWIE
MiGHTYMAX,VAXEE PA Summer22,Ducky One 2,HyperX Cloud II,ASUS ROG SWIFT PG259QN,VAXEE,Ducky,HyperX,ASUS
Mickie,ZOWIE G-SR,Corsair K70 RGB MK.2,HyperX Cloud Revolver S,HP OMEN 24.5″,ZOWIE,Corsair,HyperX,HP
Milan,Glorious 3XL,SteelSeries Apex Pro TKL,Corsair Void Pro,Alienware AW2518H,Glorious,SteelSeries,Corsair,Alienware
MistR,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
Mistic,ZOWIE G-SR,Fnatic miniSTREAK,Fnatic REACT+,ZOWIE XL2546,ZOWIE,Fnatic,Fnatic,ZOWIE
Mitr0,Inked Gaming Custom Mousepad,SteelSeries Apex Pro,Logitech G Pro X Headset,Alienware AW2521H,Inked,SteelSeries,Logitech,Alienware
