ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
NAF,Keith Markovic,25,25-29,1997-11-24,Canada,NA,Team Liquid,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.6,1000.0,400.0,640.0,SteelSeries QcK Heavy,Custom Keyboard,Sennheiser GSP 600,Alienware AW2521H,SteelSeries,Custom,Sennheiser,Alienware
dav1d,David Tapia Maldonado,22,20-24,2000-06-07,Chile,SA,9z Team,CS:GO,1.0,ZOWIE EC2-C,ZOWIE,3.06,1000.0,400.0,1224.0,ZOWIE G-SR,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
rox,Martin Molina,20,20-24,2002-09-15,Argentina,SA,9z Team,CS:GO,1.0,VAXEE ZYGEN NP-01S Glossy,VAXEE,2.2,1000.0,800.0,1760.0000000000002,ZOWIE G-SR,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,HyperX,HyperX,ZOWIE
max,Maximiliano Gonzalez,23,20-24,1999-06-15,Uruguay,SA,9z Team,CS:GO,1.0,Logitech G403 HERO,Logitech,1.0,1000.0,800.0,800.0,HyperX Fury S Speed Edition,unknown,unknown,ZOWIE XL2546K,HyperX,unknown,unknown,ZOWIE
shox,Richard Papillon,30,30-34,1992-05-27,France,EU,Apeks,CS:GO,1.0,ZOWIE FK1+-C,ZOWIE,3.0,1000.0,400.0,1200.0,Corsair MM350 Champion Series,Razer Huntsman V2,Corsair HS80,ZOWIE XL2546K,Corsair,Razer,Corsair,ZOWIE
oSee,Joshua Ohm,23,20-24,1999-05-31,United States,NA,Team Liquid,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,0.85,1000.0,800.0,680.0,Lethal Gaming Gear Saturn,Glorious GMMK Pro,beyerdynamic DT 1990 PRO,ZOWIE XL2546,Lethal,Glorious,beyerdynamic,ZOWIE
Jamppi,Elias Olkkonen,21,20-24,2001-07-22,Finland,EU,Team Liquid,VALORANT,3.18,VAXEE OUTSET AX Yellow,VAXEE,0.42,1000.0,800.0,1068.48,VAXEE PA Black,Razer Huntsman Mini,HyperX Cloud II,ASUS ROG XG258Q,VAXEE,Razer,HyperX,ASUS
F1KU,Maciej Miklas,19,15-19,2003-05-29,Poland,EU,OG Esports,CS:GO,1.0,Razer Deathadder V3 Pro White,Razer,1.7,1000.0,400.0,680.0,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
s1ren,Pavel Ogloblin,20,20-24,2002-07-16,Russia,EU,Team Spirit,CS:GO,1.0,Logitech G Pro X Superlight Magenta,Logitech,1.5,1000.0,800.0,1200.0,VAXEE PA P22,Logitech G Pro X Keyboard,unknown,ZOWIE XL2546K,VAXEE,Logitech,unknown,ZOWIE
Furlan,Damian Kisłowski,28,25-29,1994-12-29,Poland,EU,AGO,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.3,1000.0,800.0,1040.0,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
jedqr,Grzegorz Jędras,24,20-24,1998-11-03,Poland,EU,AGO,CS:GO,1.0,ZOWIE ZA11-B,ZOWIE,1.5,1000.0,800.0,1200.0,ZOWIE G-SR-SE,HyperX Alloy Origins,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,HyperX,HyperX,ZOWIE
Goofy,Krzysztof Górski,22,20-24,2000-08-29,Poland,EU,9INE,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,0.8,1000.0,800.0,640.0,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
Sobol,Kamil Sobolewski,24,20-24,1998-01-24,Poland,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.7,1000.0,400.0,680.0,ZOWIE G-SR,Corsair K70 RGB MK.2,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Corsair,Logitech,ZOWIE
Marix,Max Kugener,19,15-19,2003-07-30,Luxembourg,EU,OG Academy,CS:GO,1.0,Pwnage Ultra Custom Wireless Ergo,Pwnage,1.0,1000.0,800.0,800.0,SteelSeries QcK Heavy,Corsair K65 TKL,beyerdynamic MMX 300,ZOWIE XL2546K,SteelSeries,Corsair,beyerdynamic,ZOWIE
Staehr,Victor Staehr,18,15-19,2004-07-19,Denmark,EU,Sprout,CS:GO,1.0,Logitech G Pro Wireless,Logitech,1.2,1000.0,800.0,960.0,Endgame Gear MPJ450 Sprout,SteelSeries Apex Pro,HyperX Cloud II Wireless,ZOWIE XL2546K,Endgame,SteelSeries,HyperX,ZOWIE
leman,Eryk Kocęba,25,25-29,1997-01-21,Poland,EU,AGO,CS:GO,1.0,ZOWIE S2 Divina Pink,ZOWIE,3.0,1000.0,400.0,1200.0,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
kRaSnaL,Szymon Mrozek,19,15-19,2003-04-02,Poland,EU,Monte,CS:GO,1.0,Razer Viper Ultimate,Razer,1.35,1000.0,400.0,540.0,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
Nivera,Nabil Benrlitom,21,20-24,2001-06-10,Belgium,EU,Karmine Corp,VALORANT,3.18,Razer Deathadder V3 Pro White,Razer,0.173,1000.0,800.0,440.11199999999997,Corsair MM350 Champion Series,Corsair K70 RGB,Corsair HS80,Alienware AW2521H,Corsair,Corsair,Corsair,Alienware
vanity,Anthony Malaspina,24,20-24,1998-12-04,United States,NA,Cloud9,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.141,1000.0,1600.0,717.4079999999999,Logitech G640,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,Logitech,HyperX,HyperX,ZOWIE
xeta,Seon-Ho Son,25,25-29,1997-06-03,South Korea,AS,T1,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.58,1000.0,400.0,737.76,HyperX Fury S Pro,HyperX Alloy FPS Pro,Sennheiser GAME ZERO,ZOWIE XL2546,HyperX,HyperX,Sennheiser,ZOWIE
Aleksib,Aleksi Virolainen,25,25-29,1997-03-30,Finland,EU,Ninjas in Pyjamas,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.05,1000.0,800.0,840.0,Logitech G640,Razer Huntsman V2,Razer BlackShark V2,ZOWIE XL2546,Logitech,Razer,Razer,ZOWIE
D0cC,Shuaib Ahmad,22,20-24,2000-09-04,Netherlands,EU,Content Creator,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.4,1000.0,400.0,560.0,VAXEE PA ZYGEN,Razer Huntsman V2 TKL,HyperX Cloud II Gun Metal,ZOWIE XL2546,VAXEE,Razer,HyperX,ZOWIE
slaxz,Fritz Dietrich,24,20-24,1998-11-25,Germany,EU,Free Agent,CS:GO,1.0,FinalMouse Starlight-12,FinalMouse,2.25,1000.0,400.0,900.0,Endgame Gear MPJ450 Sprout,Ducky One 2,Sennheiser GAME ZERO,ZOWIE XL2546,Endgame,Ducky,Sennheiser,ZOWIE
Spiidi,Timo Richter,27,25-29,1995-09-13,Germany,EU,Free Agent,CS:GO,1.0,Finalmouse Starlight-12 Phantom,Finalmouse,0.8,1000.0,800.0,640.0,Endgame Gear MPJ450 Sprout,Cooler Master MasterKeys MK750,HyperX Cloud Alpha,ZOWIE XL2546K,Endgame,Cooler,HyperX,ZOWIE
raalz,Rasmus Steensborg,27,25-29,1995-07-30,Denmark,EU,Copenhagen Flames,CS:GO,1.0,ZOWIE EC1,ZOWIE,1.6,1000.0,400.0,640.0,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
fame,Pyotr Bolyshev,19,15-19,2003-03-03,Russia,EU,Outsiders,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.1,1000.0,800.0,880.0000000000001,Logitech G640,Xtrfy K4 TKL RGB White,HyperX Cloud II,ZOWIE XL2546K,Logitech,Xtrfy,HyperX,ZOWIE
ardiis,Ardis Svarenieks,24,20-24,1998-05-01,Latvia,EU,NRG,VALORANT,3.18,Logitech G Pro X Superlight Magenta,Logitech,0.27,1000.0,800.0,686.88,Artisan FX Hien Soft,Logitech G Pro X Keyboard,Logitech G Pro X Headset,AOC AG251FZ2E,Artisan,Logitech,Logitech,AOC
Tacolilla,Vicente Compagnon,22,20-24,2000-10-03,Chile,SA,Leviatan,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.2,1000.0,800.0,508.8,Razer Gigantus V2,Varmilo VA87M Beijing Opera,Logitech G Pro X Headset,ZOWIE XL2546K,Razer,Varmilo,Logitech,ZOWIE
Less,Felipe Basso,17,15-19,2005-02-24,Brazil,SA,LOUD,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.32,1000.0,800.0,814.08,VAXEE PA FunSpark,HyperX Alloy FPS RGB,HyperX Cloud II,unknown,VAXEE,HyperX,HyperX,unknown
Sayaplayer,Ha Jung-woo,24,20-24,1998-07-29,South Korea,AS,T1,VALORANT,3.18,Logitech G Pro Gaming Mouse,Logitech,0.339,1000.0,1000.0,1078.02,Esports Tiger LongTeng,Leopold FC750R,HyperX Cloud II Wireless,ZOWIE XL2546K,Esports,Leopold,HyperX,ZOWIE
SoOn,Terence Tarlier,28,25-29,1994-02-04,France,EU,CGN Esports,VALORANT,3.18,Logitech G305,Logitech,0.675,1000.0,800.0,1717.2,Artisan Ninja FX Zero XSoft,Wooting 60 HE,SteelSeries Arctis Pro Nova Wireless,ZOWIE XL2540K,Artisan,Wooting,SteelSeries,ZOWIE
dicey,Quan Tran,20,20-24,2002-12-17,United States,NA,FaZe Clan,VALORANT,3.18,ZOWIE ZA13-C,ZOWIE,0.135,1000.0,1600.0,686.88,Artisan Ninja FX Zero Soft,Ducky One 2 Mini,Sennheiser GAME ONE,ZOWIE XL2546K,Artisan,Ducky,Sennheiser,ZOWIE
aceu,Brandon Winn,27,25-29,1995-04-07,United States,NA,Sentinels,Apex,1.0,FinalMouse Starlight Pro,FinalMouse,2.1,1000.0,800.0,1680.0,ZOWIE G-SR-SE Deep Blue,Ducky One 2 TKL,Apple EarPods,ZOWIE XL2546,ZOWIE,Ducky,Apple,ZOWIE
AvovA,Auni Chahade,24,20-24,1998-11-05,Denmark,EU,Team Heretics,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.333,1000.0,800.0,847.1520000000002,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
sinatraa,Jay Won,22,20-24,2000-03-18,United States,NA,Sentinels,VALORANT,3.18,Logitech G Pro X Superlight White,Logitech,0.387,1000.0,800.0,984.5280000000001,Logitech G640,Matrix x sinatraa Keyboard,JBL Quantum One,HP OMEN 24.5″,Logitech,Matrix,JBL,HP
governor,Peter No,19,15-19,2003-08-19,United States,NA,Free Agent,VALORANT,3.18,FinalMouse Starlight Pro,FinalMouse,0.45,1000.0,1200.0,1717.2,unknown,Ducky One 3 Mini,beyerdynamic DT 990 Pro,ZOWIE XL2740,unknown,Ducky,beyerdynamic,ZOWIE
crashies,Austin Roberts,25,25-29,1997-12-20,United States,NA,NRG,VALORANT,3.18,Logitech G Pro Wireless,Logitech,0.25,1000.0,800.0,636.0,Razer Strider,Razer BlackWidow V3 TKL,Razer BlackShark V2,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
Doma,Domagoj Fancev,19,15-19,2003-07-29,Croatia,EU,MAD Lions,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.35,1000.0,800.0,890.4000000000001,VAXEE PA OUTSET,Razer BlackWidow V3 Pro,Logitech G Pro X Headset,ZOWIE XL2546,VAXEE,Razer,Logitech,ZOWIE
KRYPTIX,James Affleck,27,25-29,1995-05-24,United Kingdom,EU,Free Agent,VALORANT,3.18,Pulsar Xlite V2 Wireless,Pulsar,0.471,1000.0,400.0,599.112,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2,ZOWIE XL2540,Razer,Razer,Razer,ZOWIE
mitch,Mitch Semago,26,25-29,1996-07-31,United States,NA,Free Agent,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.28,1000.0,800.0,712.3200000000002,HyperX Fury S Pro,Ducky One 2 Mini,Razer BlackShark V2 Pro,ZOWIE XL2540,HyperX,Ducky,Razer,ZOWIE
Redgar,Igor Vlasov,25,25-29,1997-10-17,Russia,EU,Team Liquid,VALORANT,3.18,Logitech G Pro X Superlight White,Logitech,0.5,1000.0,800.0,1272.0,ZOWIE G-SR-SE Deep Blue,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
cNed,Mehmet Yağız İpek,20,20-24,2002-01-18,Turkey,AS,Natus Vincere,VALORANT,3.18,ZOWIE ZA12,ZOWIE,0.32,1000.0,800.0,814.08,SteelSeries QcK Heavy,Xtrfy K4 TKL RGB White,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Xtrfy,HyperX,ZOWIE
Zeek,Aleksander Zygmunt,21,20-24,2001-09-11,Poland,EU,Team Heretics,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.37,1000.0,800.0,941.2800000000001,Artisan FX Hien Soft,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2540,Artisan,Logitech,Logitech,ZOWIE
Kiles,Vladyslav Shvets,25,25-29,1997-08-26,Ukraine,EU,Free Agent,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.431,1000.0,800.0,1096.4640000000002,VAXEE PA ZYGEN,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2540,VAXEE,Logitech,Logitech,ZOWIE
Rawkus,Shane Flaherty,28,25-29,1994-06-16,United States,NA,Free Agent,VALORANT,3.18,FinalMouse Starlight Pro,FinalMouse,0.4,1000.0,800.0,1017.6,Artisan Ninja FX Zero XSoft,Ducky One 2 Mini,Sennheiser GAME ZERO,ZOWIE XL2546,Artisan,Ducky,Sennheiser,ZOWIE
curry,Rahul Nemani,20,20-24,2002-08-05,United States,NA,Free Agent,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.375,1000.0,800.0,954.0,Artisan Ninja FX Zero XSoft,Ducky One 2 TKL,Logitech G Pro X Headset,ZOWIE XL2540,Artisan,Ducky,Logitech,ZOWIE
FASHR,Dion Derksen,26,25-29,1996-01-10,Netherlands,EU,Fnatic,CS:GO,1.0,Logitech G Pro X Superlight Magenta,Logitech,1.0,1000.0,800.0,800.0,unknown,HyperX Alloy Elite 2,Sennheiser GSP 600,ZOWIE XL2546K,unknown,HyperX,Sennheiser,ZOWIE
Benkai,Benedict Tan,26,25-29,1996-11-10,Singapore,AS,Paper Rex,VALORANT,3.18,Pulsar X2,Pulsar,0.25,1000.0,800.0,636.0,Artisan FX Hien Soft,Ducky One 2 Mini,EPOS H6PRO White,ZOWIE XL2546K,Artisan,Ducky,EPOS,ZOWIE
mindfreak,Aaron Leonhart,23,20-24,1999-10-04,Indonesia,AS,Paper Rex,VALORANT,3.18,VAXEE XE White,VAXEE,0.5,1000.0,400.0,636.0,VAXEE PA Summer22,HyperX Alloy Origins Core,unknown,ZOWIE XL2546K,VAXEE,HyperX,unknown,ZOWIE
TENNN,Tenta Asai,21,20-24,2001-10-19,Japan,AS,ZETA DIVISION,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.28,1000.0,800.0,712.3200000000002,VAXEE PA OUTSET,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,VAXEE,Logitech,Logitech,ZOWIE
Dep,Yuma Hashimoto,22,20-24,2000-12-04,Japan,AS,ZETA DIVISION,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.214,1000.0,800.0,544.4159999999999,Zowie G-SR-SE Rouge,Corsair K100 RGB,Logitech G Pro X Headset,ZOWIE XL2546K,Zowie,Corsair,Logitech,ZOWIE
crow,Tomoaki Maruoka,25,25-29,1997-11-28,Japan,AS,ZETA DIVISION,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.45,1000.0,800.0,1144.8,Esports Tiger EBA,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,Esports,Logitech,Logitech,ZOWIE
ShadoW,Tobias Flodström,27,25-29,1995-06-11,Sweden,EU,Free Agent,VALORANT,3.18,Finalmouse Ultralight 2,Finalmouse,0.408,1000.0,400.0,518.976,SteelSeries QcK+,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,SteelSeries,Logitech,Logitech,ZOWIE
Zest,Kim Gi-seok,22,20-24,2000-12-27,South Korea,AS,DRX,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.56,1000.0,400.0,712.3200000000002,ZOWIE G-SR,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ZOWIE XL2546K,ZOWIE,Razer,Razer,ZOWIE
MaKo,Kim Myeong-kwan,20,20-24,2002-01-15,South Korea,AS,DRX,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.45,1000.0,400.0,572.4,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro,ZOWIE XL2546S,Razer,Razer,Razer,ZOWIE
stax,Kim Gu-taek,22,20-24,2000-02-16,South Korea,AS,DRX,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.43,1000.0,400.0,546.96,SteelSeries QcK Heavy,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ZOWIE XL2546S,SteelSeries,Razer,Razer,ZOWIE
valyn,Jacob Batio,19,15-19,2003-01-04,United States,NA,The Guard,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.15,1000.0,1600.0,763.2,Logitech G640,Razer Huntsman TE,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Razer,Logitech,ZOWIE
hoody,Aaro Peltokangas,24,20-24,1998-09-17,Finland,EU,Giants,VALORANT,3.18,Logitech G403 HERO,Logitech,0.628,1000.0,400.0,798.816,Logitech G640,unknown,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,unknown,Logitech,ZOWIE
Kanpeki,Eric Xu,25,25-29,1997-11-21,United States,NA,Free Agent,VALORANT,3.18,Razer Viper V2 Pro,Razer,0.32,1000.0,800.0,814.08,Artisan Ninja FX Zero Soft,Custom Keyboard,Razer BlackShark V2 Pro,ZOWIE XL2546 Divina Pink,Artisan,Custom,Razer,ZOWIE
Rb,Goo Sang-min,21,20-24,2001-12-07,South Korea,AS,DRX,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.35,1000.0,800.0,890.4000000000001,ZOWIE G-SR,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ZOWIE XL2546S,ZOWIE,Razer,Razer,ZOWIE
effys,Loic Sauvageau,30,30-34,1992-09-19,Canada,NA,Version1,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.45,1000.0,400.0,572.4,Logitech G640,Razer Huntsman Mini,HyperX Cloud II Wireless,ZOWIE XL2546K,Logitech,Razer,HyperX,ZOWIE
Lakia,Kim Jong-min,22,20-24,2000-12-24,South Korea,AS,DWG KIA,VALORANT,3.18,ZOWIE EC3-C,ZOWIE,0.33,1000.0,800.0,839.5200000000001,SteelSeries QcK Heavy,Razer Huntsman V2 TKL,HyperX Cloud Alpha,ZOWIE XL2546,SteelSeries,Razer,HyperX,ZOWIE
Saadhak,Matias Delipetro,25,25-29,1997-03-08,Argentina,SA,LOUD,VALORANT,3.18,Logitech G Pro X Superlight Magenta,Logitech,0.24,1000.0,800.0,610.5600000000001,Artisan Hayate Otsu XSoft,Logitech G915 TKL White,HyperX Cloud II,Alienware AW2518H,Artisan,Logitech,HyperX,Alienware
sinnopsyy,Dionis Budeci,27,25-29,1995-07-24,Albania,EU,Bad News Eagles,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,3.25,1000.0,400.0,1300.0,Zowie G-SR-SE Rouge,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546,Zowie,Logitech,HyperX,ZOWIE
juanflatroo,Flatron Halimi,25,25-29,1997-03-18,Kosovo,EU,Bad News Eagles,CS:GO,1.0,ZOWIE EC2-C,ZOWIE,2.3,1000.0,400.0,919.9999999999999,Razer Gigantus V2,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,Razer,HyperX,HyperX,ZOWIE
mhL,Miłosz Knasiak,20,20-24,2002-03-03,Poland,EU,MOUZ NXT,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.7,1000.0,400.0,1080.0,Razer Goliathus Speed Cosmic,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
siuhy,Kamil Szkaradek,20,20-24,2002-08-26,Poland,EU,GamerLegion,CS:GO,1.0,ZOWIE EC2 White,ZOWIE,2.6,1000.0,400.0,1040.0,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
szejn,Hubert Światły,20,20-24,2002-01-04,Poland,EU,Free Agent,CS:GO,1.0,ZOWIE EC2-B Divina Blue,ZOWIE,3.125,1000.0,400.0,1250.0,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
JOTA,Jhonatan Willian,24,20-24,1998-02-02,Brazil,SA,MIBR,CS:GO,1.0,Logitech G Pro X Superlight Magenta,Logitech,2.5,1000.0,800.0,2000.0,Razer Gigantus V2,HyperX Alloy FPS,HyperX Cloud II,Alienware AW2521H,Razer,HyperX,HyperX,Alienware
Tuurtle,Matheus Marques Anhaia,24,20-24,1998-10-31,Brazil,SA,MIBR,CS:GO,1.0,ZOWIE EC2,ZOWIE,1.5,1000.0,400.0,600.0,unknown,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,unknown,HyperX,HyperX,ZOWIE
shalfey,Aleksandr Marenov,20,20-24,2002-06-08,Russia,EU,forZe,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.2,1000.0,400.0,880.0000000000001,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud Alpha S,ZOWIE XL2546 Divina Blue,SteelSeries,HyperX,HyperX,ZOWIE
coldzera,Marcelo David,28,25-29,1994-10-31,Brazil,SA,00Nation,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.1,500.0,800.0,880.0000000000001,VAXEE PA FunSpark V2,HyperX Alloy Elite,HyperX Cloud II Wireless,ZOWIE XL2546,VAXEE,HyperX,HyperX,ZOWIE
birdfromsky,Thomas Due Frederiksen,29,25-29,1993-09-09,Denmark,EU,Copenhagen Flames,CS:GO,1.0,Razer DeathAdder V2,Razer,0.95,1000.0,800.0,760.0,unknown,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546K,unknown,Xtrfy,HyperX,ZOWIE
BnTeT,Hansel Ferdinand,27,25-29,1995-08-28,Indonesia,AS,Team NKT,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.1,1000.0,810.0,891.0000000000001,SteelSeries QcK Heavy,SteelSeries Apex Pro,HyperX Cloud II,ZOWIE XL2546,SteelSeries,SteelSeries,HyperX,ZOWIE
WOOD7,Adriano Cerato,27,25-29,1995-05-23,Brazil,SA,Fluxo,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0,Zowie G-SR-SE Rouge,Logitech G915 TKL,Logitech G Pro X Wireless Headset,ZOWIE XL2546K,Zowie,Logitech,Logitech,ZOWIE
brnz4n,Breno Poletto,19,15-19,2003-08-26,Brazil,SA,MIBR,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
rain,Håvard Nygaard,28,25-29,1994-08-27,Norway,EU,FaZe Clan,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.65,1000.0,400.0,660.0,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,SteelSeries Arctis Prime,ZOWIE XL2540,SteelSeries,SteelSeries,SteelSeries,ZOWIE
Python,Jordan Munck-Foehrle,21,20-24,2001-11-16,France,EU,Falcons Esports,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.15,1000.0,400.0,459.99999999999994,HyperX Fury S Pro XL,Logitech G413,HyperX Cloud II,ZOWIE XL2546K,HyperX,Logitech,HyperX,ZOWIE
autimatic,Timothy Ta,26,25-29,1996-09-10,United States,NA,Evil Geniuses,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.87,1000.0,400.0,748.0,Logitech G640,HyperX Alloy Origins Core,Logitech G Pro X Headset,ZOWIE XL2546S,Logitech,HyperX,Logitech,ZOWIE
nitr0,Nicholas Cannella,27,25-29,1995-08-16,United States,NA,Team Liquid,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.8,500.0,400.0,720.0,VAXEE PA Winter 21,Custom Keyboard,HyperX Cloud II Wireless,ZOWIE XL2546K,VAXEE,Custom,HyperX,ZOWIE
tarik,Tarik Celik,26,25-29,1996-02-18,United States,NA,Sentinels,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.471,1000.0,800.0,1198.224,Lethal Gaming Gear Saturn Pro Red,HyperX Alloy Origins 60,beyerdynamic DT 990 Pro,ZOWIE XL2546K,Lethal,HyperX,beyerdynamic,ZOWIE
JASONR,Jason Ruchelski,28,25-29,1994-08-02,Canada,NA,Content Creator,VALORANT,3.18,ZOWIE EC3-C,ZOWIE,0.32,1000.0,800.0,814.08,Razer Gigantus V2,Logitech G915,unknown,ZOWIE XL2540,Razer,Logitech,unknown,ZOWIE
Relyks,Skyler Weaver,27,25-29,1995-01-12,United States,NA,Free Agent,VALORANT,3.18,Logitech G Pro Wireless,Logitech,0.79,1000.0,400.0,1004.88,Artisan Ninja FX Zero Soft,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2540,Artisan,HyperX,HyperX,ZOWIE
Drone,Taylor Johnson,25,25-29,1997-08-29,United States,NA,Free Agent,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.34,1000.0,800.0,864.96,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2540,Logitech,Logitech,Logitech,ZOWIE
Cutler,Stephen Cutler,24,20-24,1998-11-27,United States,NA,Free Agent,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.3,1000.0,800.0,763.2,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
Will,William Cheng,23,20-24,1999-11-20,Canada,NA,Free Agent,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.4,1000.0,800.0,1017.6,Artisan Ninja FX Zero Mid,Ducky One 2 TKL White,EPOS H6PRO White,ZOWIE XL2546K,Artisan,Ducky,EPOS,ZOWIE
delz1k,Joaquín Ignacio Espinoza Soto,22,20-24,2000-06-22,Chile,SA,Free Agent,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.72,1000.0,400.0,915.84,VAXEE PA Black,HyperX Alloy FPS Pro,HyperX Cloud Flight,ZOWIE XL2546K,VAXEE,HyperX,HyperX,ZOWIE
