ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
babybay,Andrej Francisty,27,25-29,1995-06-23,United States,NA,FaZe Clan,VALORANT,3.18,Logitech G Pro X Superlight Magenta,Logitech,0.244,1000.0,800.0,620.736,Zowie G-SR-SE Rouge,Logitech G Pro X Keyboard,HyperX Cloud Alpha,ZOWIE XL2546,Zowie,Logitech,HyperX,ZOWIE
7ssk7,Artur Kyurshin,23,20-24,1999-02-26,Belarus,EU,Natus Vincere,VALORANT,3.18,FinalMouse Starlight Pro,FinalMouse,0.24,1000.0,800.0,610.5600000000001,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Logitech G Pro X Headset,ZOWIE XL2546,Artisan,Wooting,Logitech,ZOWIE
cauanzin,Cauan Pereira,17,15-19,2005-08-02,Brazil,SA,LOUD,VALORANT,3.18,Logitech G Pro X Superlight Magenta,Logitech,0.28,1000.0,800.0,712.3200000000002,VAXEE PA ZYGEN,Logitech G Pro X Keyboard,Razer BlackShark V2,ASUS TUF VG279QM,VAXEE,Logitech,Razer,ASUS
d4v41,Khalish Rusyaidee,24,20-24,1998-10-14,Malaysia,AS,Paper Rex,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.46,1000.0,900.0,1316.52,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,Razer Hammerhead Pro V2,ZOWIE XL2546,SteelSeries,HyperX,Razer,ZOWIE
tuyz,Arthur Vieira,19,15-19,2003-08-03,Brazil,SA,LOUD,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.32,1000.0,800.0,814.08,Artisan Ninja FX Zero XSoft,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,Artisan,Logitech,HyperX,ZOWIE
Sacy,Gustavo Rossi,25,25-29,1997-12-02,Brazil,SA,Sentinels,VALORANT,3.18,Logitech G Pro X Superlight White,Logitech,0.48,1000.0,800.0,1221.1200000000001,Lethal Gaming Gear Saturn Pro Red,Logitech G915,Logitech G Pro X Headset,ZOWIE XL2546,Lethal,Logitech,Logitech,ZOWIE
Sayf,Saif Jibraeel,22,20-24,2001-01-01,Sweden,EU,Team Liquid,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.5,1000.0,400.0,636.0,Lethal Gaming Gear Saturn,Wooting 60 HE,HyperX Cloud II,ASUS ROG SWIFT PG259QN,Lethal,Wooting,HyperX,ASUS
AslaN,Ceyhun Aslan,25,25-29,1997-05-07,Germany,EU,BIG,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.6,1000.0,400.0,763.2,Corsair MM250,Corsair K65 TKL,Corsair HS80,ZOWIE XL2546K,Corsair,Corsair,Corsair,ZOWIE
Shyy,Fabian Usnayo,18,15-19,2004-09-22,Chile,SA,Leviatan,VALORANT,3.18,Razer Viper V2 Pro,Razer,0.32,1000.0,800.0,814.08,Razer Gigantus V2,Razer Huntsman V2 TKL,unknown,unknown,Razer,Razer,unknown,unknown
rhyme,Emir  Muminovic ,23,20-24,1999-01-12,Bosnia and Herzegovina,EU,Giants,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.5,1000.0,400.0,636.0,ZOWIE G-SR-SE Deep Blue,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Xtrfy,HyperX,ZOWIE
keloqz,Wassim Cista,19,15-19,2003-03-26,France,EU,Team Heretics,VALORANT,3.18,Razer Viper V2 Pro,Razer,0.44,1000.0,400.0,559.6800000000001,Logitech G640,Logitech G512,Logitech G Pro X Wireless Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
Meddo,Johan Renbjörk Lundborg,23,20-24,1999-07-21,Sweden,EU,Free Agent,VALORANT,3.18,Xtrfy M4,Xtrfy,0.18,1000.0,800.0,457.92,unknown,unknown,SteelSeries Arctis Pro White,ZOWIE XL2546,unknown,unknown,SteelSeries,ZOWIE
Asuna,Peter Mazuryk,19,15-19,2003-07-26,United States,NA,100 Thieves,VALORANT,3.18,Razer DeathAdder V2,Razer,0.272,1000.0,1400.0,1210.9440000000002,Artisan Ninja FX Zero Soft,Corsair K70 RGB,HyperX Cloud II,ZOWIE XL2546K,Artisan,Corsair,HyperX,ZOWIE
dapr,Michael Gulino,24,20-24,1999-01-01,United States,NA,G2 Esports,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.66,1000.0,400.0,839.5200000000001,ZOWIE G-SR-SE Deep Blue,Corsair K70 RGB TKL,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Corsair,HyperX,ZOWIE
bang,Sean Bezerra,18,15-19,2004-03-13,United States,NA,100 Thieves,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.32,1000.0,800.0,814.08,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS VG248QE,Logitech,Logitech,Logitech,ASUS
stellar,Brenden McGrath,26,25-29,1996-07-29,United States,NA,100 Thieves,VALORANT,3.18,Logitech G Pro Wireless,Logitech,0.3,1000.0,800.0,763.2,ZOWIE G-SR,Ducky One 3 TKL Matcha,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Ducky,HyperX,ZOWIE
soulcas,Dom Sulcas,23,20-24,2000-01-02,United Kingdom,EU,Team Liquid,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.44,1000.0,400.0,559.6800000000001,SteelSeries QcK Heavy,Custom Keyboard,HyperX Cloud II,Alienware AW2521H,SteelSeries,Custom,HyperX,Alienware
leaf,Nathan Orf,19,15-19,2003-11-24,United States,NA,Cloud9,VALORANT,3.18,FinalMouse Starlight Pro,FinalMouse,0.23,1000.0,800.0,585.12,Logitech G640,HyperX Alloy Origins Core,HyperX Cloud II,ZOWIE XL2546,Logitech,HyperX,HyperX,ZOWIE
